latinad_id,display_name,latitude,longitude,city
8960,DF3225 av san jeronimo,19.3357815,-99.1975638,
8961,DF3347 riotiber,19.4282336,-99.1684848,
8991,DF3201,19.4405381,-99.199665,
8998,DF3346 DU Reforma 432,19.4245279,-99.1717419,
9000,DF3373 DU Reforma 398 Y 400,19.4250639,-99.1701361,
9001,DF3378  DU Insurgentes Sur 171 Roma Norte,19.4223307,-99.1635547,
9085,PLAZA TEMPO TOTEM  - PLAZA TEMPO ENTRADA,9.9400579,-84.1452186,
9133,LINCOLN PLAZA - PANTALLA - FC,9.9623998,-84.0558916,
9249,PLAZA SAN MARTIN - LEN0133,21.084587,-101.613213,
9250,PANTALLA FORO 4 - LEN0803,21.164077,-101.6934729,
9251,EL TRIANGULO - PUE0107,19.044445,-98.235164,
9252,PANTALLA AGUA AZUL - PUE0901,19.025134,-98.223093,
9253,PANTALLA ANDES - PUE0904,19.031051,-98.238845,
9254,PANTALLA CONCORDIA - PUE1103,19.052559,-98.249402,
9255,PANTALLA TELCEL - PUE1703,19.064812,-98.21483,
9256,PANTALLA SERDAN - PUE2303,19.072969,-98.227543,
9257,PANTALLA BUAP - PUE2806,19.023054,-98.241677,
9258,PANTALLA PLAZA DORADA - PUE3501,19.02656,-98.205431,
9259,PANTALLA UDLAP - PUE3601,19.051329,-98.283632,
9260,ACCESO LOMAS - PUE3701,19.003258,-98.267505,
9261,PANTALLA TLAXCALA - TLA0101,19.32933,-98.224559,
9262,PANTALLA COSTA DE ORO - VER0402,19.147062,-96.103999,
9263,PANTALLA ESTACIONAMIENTO - AME-01,19.6888699,-101.1603441,
9264,ENTRADA PRINCIPAL - AME-02,19.6888699,-101.1603441,
9265,PANTALLA TIENDA ZARA - AME-03,19.6888699,-101.1603441,
9266,PANTALLA TIENDA SCAPINO - AME-04,19.6888699,-101.1603441,
9267,PANTALLA TIENDA PUMA - AME-05,19.6888699,-101.1603441,
9268,PANTALLA TIENDA ESFERA - AME-06,19.6888699,-101.1603441,
9269,PANTALLA ELEVADOR - AME-07,19.6888699,-101.1603441,
9270,PANTALLA ELECTRONICA DELTA 1 - LEDDEL1,21.095044,-101.617715,
9271,PANTALLA ELECTRONICA DELTA 2 - LEDDEL2,21.095044,-101.617715,
9272,PANTALLA ELECTRONICA DELTA 3 - LEDDEL3,21.095044,-101.617715,
9273,PANTALLA ELECTRONICA MARAVILLAS 1 - LEDMARA1,21.149515,-101.674463,
9274,PANTALLA ELECTRONICA SAN JUAN BOSCO 1 - LEDSJB1,21.132443,-101.715817,
9275,PANTALLA ELECTRONICA SAN JUAN BOSCO 2 - LEDSJB2,21.132443,-101.715817,
9276,PANTALLA ELECTRONICA SAN JUAN BOSCO 3 - LEDSJB3,21.132443,-101.715817,
9277,PANTALLA ELECTRONICA SAN JERONIMO 1 - LEDSJE1,21.149515,-101.674463,
9278,PANTALLA ELECTRONICA SAN JERONIMO 2 - LEDSJE2,21.149515,-101.674463,
9279,PANTALLA ELECTRONICA TIMOTEO LOZANO 1 - LEDTIMO1,21.149515,-101.674463,
9280,MUPI 1 SHOP - MUPI-AME-01,19.6888699,-101.1603441,
